paper_trade_id,leg_count
ase_pt_82b4b4830f9b44d1,2
ase_pt_83538519e8064a9e,2
ase_pt_835d7f1f28f84c85,2
ase_pt_83d56a0a0f0f40a3,3
ase_pt_848e090753ce4b78,3
ase_pt_84bcc42a04404c1d,4
ase_pt_854cdbc63d0e4302,2
ase_pt_856dbff788e84c4c,4
ase_pt_857897d4d0ff4f19,3
ase_pt_873a7401af7c499b,3
ase_pt_873fee4ef10f4d1e,3
ase_pt_8779236ee5114ad7,2
ase_pt_87f340e043e5485d,2
ase_pt_8866dcbf077e4891,4
ase_pt_89e9a7a206094b5d,2
ase_pt_8b344752f60546a1,2
ase_pt_8b3c4ae687964a70,2
ase_pt_8b4dd53a96554dfd,2
ase_pt_8b9f1e603d544491,4
ase_pt_8bb5c04c7e374521,2
ase_pt_8c37415feac34594,4
ase_pt_8c79bccb949e4c7e,2
ase_pt_8cea473fdd8847ee,4
ase_pt_8d272733b82b486a,4
ase_pt_8d400ce6441c4402,4
ase_pt_8dbc75e418544b88,3
ase_pt_8dc0c46744d64953,2
ase_pt_8e442eea96e1491f,2
ase_pt_8e69571ed93942dd,4
ase_pt_8ed093812bf24ba3,2
ase_pt_8f07b5e253e84aac,1
ase_pt_8f40bc8450a040f2,4
ase_pt_8f481826e0ff4f9b,2
ase_pt_8fc139721c9c4d94,2
ase_pt_8fdcc3627c754690,4
ase_pt_90567077eb144619,1
ase_pt_9089a990edab441c,1
ase_pt_90aebf88d50e4c5e,2
ase_pt_90b15fbbc1784cbe,2
ase_pt_90ec6ab58d4a433f,2
ase_pt_90fdbdd9ef814faa,4
ase_pt_9179e74a98ee4988,3
ase_pt_9193accc15f84997,6
ase_pt_9221343a8ff442c1,2
ase_pt_922c42b2e24d4fb5,2
ase_pt_9304bdbefbc643c7,4
ase_pt_931dd6df28c1477d,2
ase_pt_9348885232d04d4e,2
ase_pt_937155f971934804,2
ase_pt_937913978a7345bf,8
ase_pt_938199d6acd74eb5,2
ase_pt_93a3a93c4f9f4e12,3
ase_pt_9403ce850be042b9,4
ase_pt_946b75d084744dd5,3
ase_pt_94869ecb05004e5d,2
ase_pt_949f8a36d9124d7b,4
ase_pt_95154129d2f04501,2
ase_pt_952d56fbc7614422,2
ase_pt_963783dd4e834ad5,4
ase_pt_9685e32cd4cc4f00,3
ase_pt_96afe39b761e4ad1,2
ase_pt_96c335fbcd3f4c4f,3
ase_pt_97126c75c93c44f0,2
ase_pt_9718d1dd9d2d406c,2
ase_pt_971b825f23974ec3,4
ase_pt_974bac188a97487c,1
ase_pt_977ced069bc5425b,4
ase_pt_97bde6ee96964044,2
ase_pt_98831dcb66714fbe,2
ase_pt_989392eefb9541f2,4
ase_pt_98a9900391574b3c,3
ase_pt_99857ff17e444244,1
ase_pt_99cb0be7029b4a82,2
ase_pt_9aa23c0340c74068,4
ase_pt_9ac2841b15404bcd,1
ase_pt_9ac53dd86a4a49db,1
ase_pt_9ad847fa6c644d6e,4
ase_pt_9ae3a43abb114bb3,3
ase_pt_9b4f4bfe915d486c,2
ase_pt_9bb6a291e8394a63,6
ase_pt_9bf39c88fddc4d28,2
ase_pt_9c0bca498cd943c1,2
ase_pt_9c6a842c94f74f0c,2
ase_pt_9c780403c45a475f,2
ase_pt_9c7a74fa838e4e13,2
ase_pt_9ce40b1112c2482f,2
ase_pt_9d1f3d6be1de42e7,2
ase_pt_9d28f94eaeaf4126,4
ase_pt_9e412b9c46f64e91,3
ase_pt_9e5cf737f8e74fa3,2
ase_pt_9f12756001424bb1,2
ase_pt_9f6f3232705d4af8,2
ase_pt_a0f182a9ba75429b,2
ase_pt_a14c917b2b5f4bac,2
ase_pt_a177f80b7b324348,2
ase_pt_a1c8e3c5b81941d4,4
ase_pt_a1d17b4de5fb4ab9,3
ase_pt_a1fcb5049d0f413b,2
ase_pt_a2df9c7deeea4407,2
ase_pt_a36cd5a474524c44,2
ase_pt_a41cbde2d94b40f5,8
ase_pt_a46af2f3109f4baf,2
ase_pt_a56d6cd8ff234e19,2
ase_pt_a786e2c48589413f,2
ase_pt_a81db8b53b0a4269,2
ase_pt_a81f2a870e1640c5,1
ase_pt_a84f030dddc84b5c,4
ase_pt_a8b9f5ecf5284755,4
ase_pt_a96a5356fe294b6a,4
ase_pt_a9753a5b1a1b4f5e,1
ase_pt_a9ede8c2b6164324,3
ase_pt_aa854a4440c0485e,2
ase_pt_aa91c2601a534cca,3
ase_pt_aaac37a07a91407d,2
ase_pt_ab7790faa1c546cf,2
ase_pt_abd22434ae404043,2
ase_pt_ac4b9034cd964425,2
ase_pt_ad101c6b69114db6,3
ase_pt_ad40ee17f4b24319,4
ase_pt_adbf72e54bee4e93,2
ase_pt_ae12830c35754db8,3
ase_pt_ae94e90407ed4ee8,4
ase_pt_aeb5d4d092ea48cc,3
ase_pt_af7b9105f1b44a39,2
ase_pt_afb8e8c13d074159,2
ase_pt_afbccbf809824372,4
ase_pt_b02668e8ecc4498d,2
ase_pt_b0a34de8bfd04d85,2
ase_pt_b0b1fcb3e5e440bf,4
ase_pt_b0bae41a8b684f02,2
ase_pt_b0cb97a05fe0422f,2
ase_pt_b0eeb4319ad54360,4
ase_pt_b143fca2d6684ea9,1
ase_pt_b17fef4b11414c67,4
ase_pt_b18fa90299b1435f,4
ase_pt_b19c89664d8d4c91,2
ase_pt_b217288663e64abf,6
ase_pt_b2ca50de093b4563,4
ase_pt_b3196782bca54c2f,2
ase_pt_b31a4d1261f343e9,4
ase_pt_b3dcd42cff494334,2
ase_pt_b4fa0790417d42e0,1
ase_pt_b52bfbe48bc7409c,1
ase_pt_b544d413f1fa4fbe,2
ase_pt_b561dca737e64954,4
ase_pt_b56a1c5009bc48ba,2
ase_pt_b592a8277a61404c,3
ase_pt_b5a80c476a354e47,4
ase_pt_b62d17470e3d4853,2
ase_pt_b6be8e95c33a4553,2
ase_pt_b6c5e61a736a4625,2
ase_pt_b70d6af2f94d4814,2
ase_pt_b73e0508eca949e8,2
ase_pt_b78de49d410c4b6a,4
ase_pt_b816b72e7a2f46dc,4
ase_pt_b81ee0040f7d4f04,1
ase_pt_b82b26af17754238,2
ase_pt_b8bb8ab33f7c4861,2
ase_pt_b960fd2b68d648d3,2
ase_pt_ba237dbdad944b8b,2
ase_pt_ba7fa2bd655642a4,2
ase_pt_ba89af7af8ba4e0a,3
ase_pt_baad41bd56d44e0e,2
ase_pt_bacc84d4772d447c,3
ase_pt_bb138449b1884e36,3
ase_pt_bb16728c9ab74c57,2
ase_pt_bb4541f2bdfc46ca,2
ase_pt_bb9a1f6f28054353,4
ase_pt_bbb2af4febbf44fa,1
ase_pt_bbd9a12dae4b4160,5
ase_pt_bbfe78136a6145df,2
ase_pt_bc60609866cf4c0f,2
ase_pt_bcbabed4ff834d64,2
ase_pt_bce325b6dbd949b5,4
ase_pt_bda5c6e34e8646be,2
ase_pt_bdd79945f43049f0,4
ase_pt_bed69d2bf32e4b21,4
ase_pt_bf1cf12068b3467c,3
ase_pt_bf38b5588ca045ca,2
ase_pt_bf3cd83403654aef,3
ase_pt_bf9746964617425a,2
ase_pt_bfac9a1717b7484c,4
ase_pt_bfcbb0e9be454d9a,4
ase_pt_bfcfa9b74a7841ec,4
ase_pt_c07afef2857d49ed,2
ase_pt_c10d6a979ce8484c,2
ase_pt_c13e4aa9be584415,4
ase_pt_c15348efbf064e5a,4
ase_pt_c1b18ab884d94247,2
ase_pt_c1c2c821260347b3,2
ase_pt_c1cb14c33f0a40db,4
ase_pt_c1e850d101f94cfc,2
ase_pt_c22a27dc84f148ae,2
ase_pt_c319fad03c394a4c,4
ase_pt_c36ecfd5501c47a4,2
ase_pt_c3b3676b3dca4053,3
ase_pt_c41a7642575b484e,2
ase_pt_c45fec7c13434445,3
ase_pt_c467febe9f4646de,2
ase_pt_c5be21acb3394fec,4
ase_pt_c5e54d1c2fad41cc,4
ase_pt_c5fdce8b34414e05,2
ase_pt_c62db28384754bcc,2
ase_pt_c63b5ebecfbb40ba,3
ase_pt_c66cffc7f7554a9e,2
ase_pt_c693893a29cf4a5c,4
ase_pt_c6a51fd7f76347fe,2
ase_pt_c6e58215b6bc4846,3
ase_pt_c7352c9de31649d5,3
ase_pt_c7a2f3b519e24441,4
ase_pt_c8310c4a33604a82,3
ase_pt_c83827516c75413d,2
ase_pt_c8a9b9a5f23c4a02,2
ase_pt_c8bf85c6ede2488b,2
ase_pt_c8dd09199fb94cf3,2
ase_pt_c90f2d4483524cf3,4
ase_pt_c9285bac7ab4456a,2
ase_pt_c940efd2a9954b9d,4
ase_pt_c95aee18709e452c,2
ase_pt_c985351fe54449c8,1
ase_pt_c985b0ea78c349bf,4
ase_pt_c9cf1e5947bb4752,2
ase_pt_ca738e7c12374252,2
ase_pt_cab5b30e65814c46,3
ase_pt_cb4bcbf8a2d84d5f,2
ase_pt_cbd5bf81793446d7,2
ase_pt_cc391a931e4f47f4,4
ase_pt_cc496e3791394bdd,4
ase_pt_cdcfed298b1248b7,4
ase_pt_cecf9ac515e84f97,2
ase_pt_cf1c0cd326094aec,2
ase_pt_cf555e7bab05428c,2
ase_pt_cfeb044893794459,2
ase_pt_d08c204af0aa4d79,4
ase_pt_d1c575613d644f6d,4
ase_pt_d2121d0c26e647d3,1
ase_pt_d2435f0b6b9843e7,2
ase_pt_d290c1a0e61b449f,1
ase_pt_d339d8eab1824973,2
ase_pt_d364f8772e634ea2,2
ase_pt_d3b5f2da35984057,4
ase_pt_d41318d96c0c4c43,2
ase_pt_d416f4b7532c415c,4
ase_pt_d44e9670399c408a,3
ase_pt_d4b58757814f4b80,2
ase_pt_d5cd7abcf3714a9e,3
ase_pt_d63b61e91c314a4f,4
ase_pt_d65d6f9ae7c349d2,1
ase_pt_d66365d89f08431d,2
ase_pt_d69231f049ab4610,2
ase_pt_d6e7b562298d4374,3
ase_pt_d6ed352fe4334e51,2
ase_pt_d6f552806c264371,2
ase_pt_d742e132255243af,4
ase_pt_d76fb2bccf7b4907,2
ase_pt_d87d772111f84a26,2
ase_pt_d8d2ea56d692462f,2
ase_pt_d8dc2fb768cf4d72,2
ase_pt_d9415203c20b46f6,2
ase_pt_d98382cd2b4f4c2d,6
ase_pt_d9ff3f43e29b426f,2
ase_pt_da861c9b34664bdb,4
ase_pt_daf29f93819041a8,4
ase_pt_db747bae239b4a97,4
ase_pt_dc09b5d14ef44603,3
ase_pt_dcf739fea6c346c2,4
ase_pt_dd6f5dcf3c9049ec,2
ase_pt_dda2c92bd3bf4532,2
ase_pt_ddaaad97b7254e99,3
ase_pt_ddcc6f854e4843f4,2
ase_pt_de9a1dd6531e46d8,2
ase_pt_dea8aa2dc202496f,4
ase_pt_deec57d13d8148c3,2
ase_pt_df0a266b5a764677,4
ase_pt_df0d1012524347fb,4
ase_pt_df79891422ec4bf6,3
ase_pt_df836ccb480e43ac,1
ase_pt_df9ef3680a77413b,2
ase_pt_e027cb165fd34219,4
ase_pt_e0843e5730d14f6a,2
ase_pt_e0a6c5ea0c7841ed,4
ase_pt_e0d7f801595e436e,4
ase_pt_e0dcd7cfa0434bf4,2
ase_pt_e11d456d41a84455,2
ase_pt_e182672b33fc4791,4
ase_pt_e1b41c6235bb41f8,4
ase_pt_e1b81c458fdd4e71,2
ase_pt_e1ec5f6baa4d403d,2
ase_pt_e24cb20825964481,2
ase_pt_e2544b55d07e46a3,2
ase_pt_e2570da6158e4bf8,8
ase_pt_e27c631c24c34820,2
ase_pt_e2ba930eaa534393,2
ase_pt_e2c2f6a10bdb4b99,3
ase_pt_e2d687d64f954cd6,4
ase_pt_e2f99181fe884443,2
ase_pt_e3723739cd9c4db8,2
ase_pt_e3b8f1a59f6440b9,2
ase_pt_e42209c2003d4359,4
ase_pt_e44634809c5544e3,4
ase_pt_e4b1d239379943ff,2
ase_pt_e4fbd56c2fba44d5,8
