id,paper_trade_id,mid_status,delta_status,ratio_status
297,ase_pt_651c3abf1f1f4b08,NOT NULL,NOT NULL,NOT NULL
298,ase_pt_e8ac703556ed4ca8,NOT NULL,NOT NULL,NOT NULL
299,ase_pt_e8ac703556ed4ca8,NOT NULL,NOT NULL,NOT NULL
300,ase_pt_e8ac703556ed4ca8,NOT NULL,NOT NULL,NOT NULL
301,ase_pt_e8ac703556ed4ca8,NOT NULL,NOT NULL,NOT NULL
302,ase_pt_5b48b5fc0a3f40de,NOT NULL,NOT NULL,NOT NULL
303,ase_pt_5b48b5fc0a3f40de,NOT NULL,NOT NULL,NOT NULL
304,ase_pt_5b48b5fc0a3f40de,NOT NULL,NOT NULL,NOT NULL
305,ase_pt_5b48b5fc0a3f40de,NOT NULL,NOT NULL,NOT NULL
306,ase_pt_5b48b5fc0a3f40de,NOT NULL,NOT NULL,NOT NULL
307,ase_pt_5b48b5fc0a3f40de,NOT NULL,NOT NULL,NOT NULL
308,ase_pt_5b48b5fc0a3f40de,NOT NULL,NOT NULL,NOT NULL
309,ase_pt_5b48b5fc0a3f40de,NOT NULL,NOT NULL,NOT NULL
310,ase_pt_41fa6adf243d4784,NOT NULL,NOT NULL,NOT NULL
311,ase_pt_41fa6adf243d4784,NOT NULL,NOT NULL,NOT NULL
312,ase_pt_41fa6adf243d4784,NOT NULL,NOT NULL,NOT NULL
313,ase_pt_41fa6adf243d4784,NOT NULL,NOT NULL,NOT NULL
314,ase_pt_033247baa7c14f4a,NOT NULL,NOT NULL,NOT NULL
315,ase_pt_033247baa7c14f4a,NOT NULL,NOT NULL,NOT NULL
316,ase_pt_033247baa7c14f4a,NOT NULL,NOT NULL,NOT NULL
317,ase_pt_033247baa7c14f4a,NOT NULL,NOT NULL,NOT NULL
318,ase_pt_0c5895db0d4c4a51,NOT NULL,NOT NULL,NOT NULL
319,ase_pt_0c5895db0d4c4a51,NOT NULL,NOT NULL,NOT NULL
320,ase_pt_0c5895db0d4c4a51,NOT NULL,NOT NULL,NOT NULL
321,ase_pt_0c5895db0d4c4a51,NOT NULL,NOT NULL,NOT NULL
322,ase_pt_2a71b6dad9324f42,NOT NULL,NOT NULL,NOT NULL
323,ase_pt_2a71b6dad9324f42,NOT NULL,NOT NULL,NOT NULL
324,ase_pt_2a71b6dad9324f42,NOT NULL,NOT NULL,NOT NULL
325,ase_pt_2a71b6dad9324f42,NOT NULL,NOT NULL,NOT NULL
326,ase_pt_64cba35090f74aaf,NOT NULL,NOT NULL,NOT NULL
327,ase_pt_64cba35090f74aaf,NOT NULL,NOT NULL,NOT NULL
328,ase_pt_64cba35090f74aaf,NOT NULL,NOT NULL,NOT NULL
329,ase_pt_64cba35090f74aaf,NOT NULL,NOT NULL,NOT NULL
330,ase_pt_e79f6d8cdfbc417d,NOT NULL,NOT NULL,NOT NULL
331,ase_pt_e79f6d8cdfbc417d,NOT NULL,NOT NULL,NOT NULL
332,ase_pt_662b1d2e3f3b4a8c,NOT NULL,NOT NULL,NOT NULL
333,ase_pt_662b1d2e3f3b4a8c,NOT NULL,NOT NULL,NOT NULL
334,ase_pt_e2c2f6a10bdb4b99,NOT NULL,NOT NULL,NOT NULL
335,ase_pt_e2c2f6a10bdb4b99,NOT NULL,NOT NULL,NOT NULL
336,ase_pt_e2c2f6a10bdb4b99,NOT NULL,NOT NULL,NOT NULL
337,ase_pt_7c43d64b976b406e,NOT NULL,NOT NULL,NOT NULL
338,ase_pt_7c43d64b976b406e,NOT NULL,NOT NULL,NOT NULL
339,ase_pt_7c43d64b976b406e,NOT NULL,NOT NULL,NOT NULL
340,ase_pt_f8dc673d2e074d35,NOT NULL,NOT NULL,NOT NULL
341,ase_pt_f8dc673d2e074d35,NOT NULL,NOT NULL,NOT NULL
342,ase_pt_f8dc673d2e074d35,NOT NULL,NOT NULL,NOT NULL
343,ase_pt_f8dc673d2e074d35,NOT NULL,NOT NULL,NOT NULL
344,ase_pt_a1c8e3c5b81941d4,NOT NULL,NOT NULL,NOT NULL
345,ase_pt_a1c8e3c5b81941d4,NOT NULL,NOT NULL,NOT NULL
346,ase_pt_a1c8e3c5b81941d4,NOT NULL,NOT NULL,NOT NULL
